Hostname,Location,Wan IP,Wan Gateway,Loopback0,Loopback1,AS Number,VPN Tunnel Address,OOB_IP
VTP_J_AYE-TUAS_EX26B_TUWDR_VPN01,Exit 26B to AYE towards Tuas_Tuas West Road,10.100.1.1,10.100.1.2,10.255.255.1,10.255.1.1,65001,172.16.1.1,192.168.1.101
VTP_J_AYE-CTE_EN_TUWDR_VPN01,Entrance from AYE towards MCE_Jalan Ahmad Ibrahim,10.100.2.1,10.100.2.2,10.255.255.2,10.255.2.1,65002,172.16.2.1,192.168.1.102
VTP_L_BKE-WLD_EX10B_WLDRD_VPN01,Exit 10B to BKE towards Woodlands_Woodlands Road,10.100.3.1,10.100.3.2,10.255.255.3,10.255.3.1,65003,172.16.3.1,192.168.1.103
VTP_L_BKE-PIE_EN_WLDRD_VPN01,Entrance from BKE towards PIE_Woodlands Road,10.100.4.1,10.100.4.2,10.255.255.4,10.255.4.1,65004,172.16.4.1,192.168.1.104
VTP_B_AYE-TUAS_EN_ALEXRD_VPN01,Entrance from AYE towards Tuas_Alexandra Road,10.100.5.1,10.100.5.2,10.255.255.5,10.255.5.1,65005,172.16.5.1,192.168.1.105
VTP_A_AYE-TUAS_ENT_KEPLRD_VPN01,Entrance from AYE towards Tuas_Keppel Road,10.100.6.1,10.100.6.2,10.255.255.6,10.255.6.1,65006,172.16.6.1,192.168.1.106
VTP_B_AYE-CTE_EX6_ALEXRD_VPN01,Exit 6 to AYE towards ECP_Alexandra Road,10.100.7.1,10.100.7.2,10.255.255.7,10.255.7.1,65007,172.16.7.1,192.168.1.107
VTP_G_ECP-CG_INT_PIE-TUAS_VPN01,Exit 2B to AYE towards ECP_Keppel Road,10.100.8.1,10.100.8.2,10.255.255.8,10.255.8.1,65008,172.16.8.1,192.168.1.108
VTP_G_PIE-CG_INT_ECP-SHAV_VPN01,Exit 3 to AYE towards ECP_Lower Delta Road,10.100.9.1,10.100.9.2,10.255.255.9,10.255.9.1,65009,172.16.9.1,192.168.1.109
VTP_A_AYE-TUAS_EN_LWDELTA_VPN01,Entrance from AYE towards Tuas_Lower Delta Road,10.100.10.1,10.100.10.2,10.255.255.10,10.255.10.1,65010,172.16.10.1,192.168.1.110
VTP_A_AYE-CTE_EN_LWDELTA_VPN01,Entrance from AYE towards ECP_Lower Delta Road,10.100.11.1,10.100.11.2,10.255.255.11,10.255.11.1,65011,172.16.11.1,192.168.1.111
VTP_A_AYE-TUAS_EX3_LWDELTA_VPN01,Exit 3 to AYE towards Tuas_Lower Delta Road,10.100.12.1,10.100.12.2,10.255.255.12,10.255.12.1,65012,172.16.12.1,192.168.1.112
VTP_A_MCE-KPE_EN_KEPLRD_VPN01,Entrance from MCE towards ECP_Keppel Road,10.100.13.1,10.100.13.2,10.255.255.13,10.255.13.1,65013,172.16.13.1,192.168.1.113
VTP_A_AYE-TUAS_EX1A_KEPLRD_VPN01,Exit 1A to MCE towards AYE_Keppel Road,10.100.14.1,10.100.14.2,10.255.255.14,10.255.14.1,65014,172.16.14.1,192.168.1.114
VTP_G_KPE-TPE_INT_TPE-PIE_VPN01,Entrance from MCE towards ECP_Marina Coastal Drive,10.100.15.1,10.100.15.2,10.255.255.15,10.255.15.1,65015,172.16.15.1,192.168.1.115
VTP_A_MCE-AYE_EX3_MARICDR_VPN01,Exit 3 to MCE towards AYE_Marina Coastal Drive,10.100.16.1,10.100.16.2,10.255.255.16,10.255.16.1,65016,172.16.16.1,192.168.1.116
VTP_E_CTE-SLE_EX10_BRADRD_VPN01,Exit 2 to MCE towards ECP_Central Boulevard,10.100.17.1,10.100.17.2,10.255.255.17,10.255.17.1,65017,172.16.17.1,192.168.1.117
VTP_A_MCE-AYE_EN_MARICDR_VPN01,Entrance from MCE towards AYE_Marina Coastal Drive,10.100.18.1,10.100.18.2,10.255.255.18,10.255.18.1,65018,172.16.18.1,192.168.1.118
VTP_F_TPE-PIE_EX12_SELEAWY_VPN01,Exit 12 to TPE towards PIE_Seletar Aerospace Way,10.100.19.1,10.100.19.2,10.255.255.19,10.255.19.1,65019,172.16.19.1,192.168.1.119
VTP_F_TPE-SLE_EN_SELEAWY_VPN01,Entrance from TPE towards SLE_Seletar Aerospace Way,10.100.20.1,10.100.20.2,10.255.255.20,10.255.20.1,65020,172.16.20.1,192.168.1.120
VTP_G_PIE-TUAS_ENT_AIRBLVD_VPN01,Entrance from PIE towards Tuas_Airport Boulevard,10.100.21.1,10.100.21.2,10.255.255.21,10.255.21.1,65021,172.16.21.1,192.168.1.121
VTP_G_ECP-MCE_EN_AIRBLVD_VPN01,Entrance from ECP towards MCE_Airport Boulevard,10.100.22.1,10.100.22.2,10.255.255.22,10.255.22.1,65022,172.16.22.1,192.168.1.122
VTP_G_ECP-CG_EX_AIRBLVD_VPN01,Exit to ECP towards Changi Airport_Airport Boulevard,10.100.23.1,10.100.23.2,10.255.255.23,10.255.23.1,65023,172.16.23.1,192.168.1.123
VTP_G_PIE-CG_EX1_AIRBLVD_VPN01,"Exit 1 to PIE towards Changi Airport_Airport Boulevard T1,2,3",10.100.24.1,10.100.24.2,10.255.255.24,10.255.24.1,65024,172.16.24.1,192.168.1.124
VTP_G_PIE-CG_EX1_CGAIRT4_VPN01,Exit 1 to PIE towards Changi Airport_Airport Boulevard T4 ,10.100.25.1,10.100.25.2,10.255.255.25,10.255.25.1,65025,172.16.25.1,192.168.1.125
VTP_G_ECP-CG_EX2A_TNMERAH_VPN01,Exit 2A to ECP towards Changi_Tanah Merah Coast Road ,10.100.26.1,10.100.26.2,10.255.255.26,10.255.26.1,65026,172.16.26.1,192.168.1.126
VTP_F_SLE-TPE_EX1C_SELEWLK_VPN01,Exit 1C to SLE towards TPE_Seletar West Link,10.100.27.1,10.100.27.2,10.255.255.27,10.255.27.1,65027,172.16.27.1,192.168.1.127
